ID,Text,Label
11,"""  මන්ත්‍රී අයට තමන්ගේ ආසනය , දිස්ත්‍රික්කය වටේ ගිහින් තියෙන අඩුපාඩු බලලා ජනතාවට සේවය කරන්න """,Non Toxic
12,"""  මන්ත්‍රී ඩීසල් වලින්, පරණ වාහන වෙන්දේසි වලින් , පාරෙ බස් එකේ පාර්ලිමේන්තු ගිහින් වගේ සිල්ලර ආතල් වලින් රට ගොඩදාන්න පුලුවන්""",Non Toxic
13,""" සෝබනය වැඩක් නෑ. විදුලි බල මණ්ඩලය , ශ්‍රී ලංකන් ප්‍රතිව්‍යුහගතකරණය කරපං, ඡන්ද ගන්න ඕනි නිසා ලක්ෂ ගාණක් එවුන්ට නිකම් අස්වැසුම බෙදන්න එපා  """,Non Toxic
14,"""  බොරුවට උඩ බලන් කෙල ගහගන්න එපා. """,Non Toxic
15,""" මේ ලොකේට ඉපදුන ගමන් ඇවිද්ද එකෙක් වගේ නේද කතාව.  """,Non Toxic
16,"""  ඇත්ත තමයි ඔයලා වගේ අය මේ අණ්ඩුව විවේචනය කරන්නේ හොරා කන්න බෑ රට හරි පාරේ යනවා අපහු මිනිස්සු අන්දන්න බැරි නිසා දුකයි නේද??""",Non Toxic
17,""" මේ අණ්ඩුව ආපු ගමන් වෙනවා කිව්ව දේවල් කිසි දෙයක් උනාද ලංකාවේ නෑනේද ඒ පහුගිය උන්ගේ නොහැකියාව තමා ඒ . දැන්වත් වහල් බවෙන් මිදිලා ඇත්ත දකින්න පුරුදු වෙන්න මේ ආණ්ඩුව හරිද වැරදිද බලන්න තව අවුරුදු 4 ක් ඉන්න මෙයලා කිව්වා වගේ කරේ නැත්තම් මිනිස්සුන්ට එකතු වෙලා පලවා හැරියකී. """,Non Toxic
18,"""  රට හරි පාරට එනකොට කොහොමත් කටු සුප්පු කරන අයට අමාරුයි තමයි.""",Non Toxic
19,""" හම්පුතලගේන් කුට්ටිය හම්බෙන්නේ නෑනේ. මොලේ පැදියන් මේ අනිත් පක්ශ වලට කඩේ යන හැමෝටම  """,Non Toxic
20,"""   පැහැදිලි කිරීම ගැන බොහොම ස්තුතියි.හැමදාම මාලිමා ආන්ඩුව හරිහ්.""",Non Toxic
21,"""පච ආණ්ඩුව රට බේරාදුන්න පොලිස් විරුවන්ගෙන් පලිගැනීම් මේ...  """,Non Toxic
22,""" පච ආණ්ඩුව කයියගහනවා විතරයි මේ වගේ වැඩ ඇරෙන්න කරපු දේකුත් නෑ..  """,Non Toxic
23,""" ඔයා කඩේ ගිය කොයි හරි ආණ්ඩුවක් වේ නම්.. උන් මේ රට මාර දියුණුවක් කරා නේද ? මේක දැන් සුරපුරයක් නේද ?   """,Non Toxic
24,""" ඔහොම තමා කටු සුප්පුවොන්ට අමාරුයි තමන්ට හොරා කන්න බැරි වෙනකොට .. ඔයලගේ පව් අහිංසක මිනිස්සු ගෙවන්න වෙන එකයි දුක.  """,Non Toxic
25,"""හිතාගන්න පුලුවන් මොලේ තරම   නැත්තම් මේ රටට මෙච්චර කෙලොපු උන් සුද්ද කරන විදිහට   """,Non Toxic
26,"""  ඔන්න දැන් කෙදිරි ගාන උන් බලාගන්න පුලුවන් 
""",Non Toxic
27,""" පොහොට්ටුවො හරි පොනිල හරි හිටියනම් ඔය පීත්ත පටිය කපන උත්සවේටත් මිලියන ගානක් දාල ගසා කනව..... """,Non Toxic
28,"""මේවගෙ පිහිටෙන් ගසාකාපු සුනඛ රැලට දැන් ආණ්ඩුව මොනව කෙරුවත් වැරදියි..
කවුද දෙයියෙනේ හිතුවෙ මෙහෙම වෙයි කියල....
  """,Non Toxic
29,"""පචය මොක කරත් අසාර්ථකයි...හොර උගුඩුවා  """,Non Toxic
30,"""  මේව දකිනකොට මට පොඩි කක්කි බරක් වගේ දැනෙනව....""",Non Toxic
31,"""  බාර උනා විතරයි ඊට පස්සේ මොකද වුනේ""",Non Toxic
32,"""  බලන්න සහෝදරවරුනි ප්‍රබල අකුනු නිසා අපි නිදහස ලැබුනු ජාතියක් වෙන්නේ කෝමද""",Non Toxic
33,"""  මාලිමාවෙි නඩය බලාගන එලියට බහින්නෙ අකුණු සැර වදියි කියපු පච වලට""",Non Toxic
34,""" අකුණු වල ශක්තිය ගබඩා කරන තැනට රට දියුණු උනා ණම ඇති  """,Non Toxic
35,"""හොදටම දෙනවා පාර මෙහෙට නම්  සියඹලාණ්ඩුව  """,Non Toxic
36,""" රටවැටුන වෙලෙත් රැස්කල සල්ලිවලින් සුර සැප වින්දවුන්; අකුණු සංණායක පිරික්සන්න.
 """,Non Toxic
37,""" අනුරගෙ පලවෙනි අකුණු සෙට් එක  """,Non Toxic
38,""" කිසිවෙකුටත් විපතක් නොවේවා """,Non Toxic
39,"""  ජෙබෛයනි පරිස්සමින් රටට කල විනාශෙට හත හත වදියි""",Non Toxic
40,"""  ජනාධිපතිවරණ වෙලාවේ අනුරට පලුයන්න බැනපු චීවරධාරීන්ට අන්තිමට අනුරගේ රජයේ අනුග්‍රහය ලැබෙනවා කියලත් කියන්න උනා.....""",Non Toxic
41,""" වෙසක් එක වගේම තියේයි """,Non Toxic
42,"""  අනුබුදු දහමින් ලොවම නිවේවා කීවාට මෙි වැවේ හැංගුන උන්නාන්සේ පසුගිය දේශපාලන වේදිකාවේ නිවෙන කතා නෙවෙයි කීවේ, පත්තු වෙන කතාමයි කීවේ, මටනම් පෞද්ගලිකව මේ චීවරධාරීන් පිළිබඳව ගෞරවයක් නෑ. """,Non Toxic
43,"""පොසොන් එකට දවස් දෙකක්ව්ත් නිවාඩුවක් දෙන්නකො අනෙ   """,Non Toxic
44,""" අපේ ⁣රටෙ රාජ්ජ උස්සව පවත්වන්න ඉන්දියාවෙන් අවසර ගන්න ඔනා වගෙ වැඩක්නේ මේක
  ""  ",Non Toxic
45,""" නුවරඑළියේ රාජ්‍ය වෙසක් උත්සවය පැවැත්තුවා ...ඌව පලාතම ඉවරයි ...පොසොන් උත්සවය කොහේද ... """,Non Toxic
46,"""පොසොන් උත්සවය සාර්ථක වේවා  """,Non Toxic
47,"""අනුර ආවම නිරාගමික කරනවා පන්සල් ගිනිතියනවා දානෙ නෑ වගේ ආතල් දුන්න මොල භාග ටිකම අනුරව ආගමික කරා කියලා ඇමිනෙන එකයි ආතල්   """,Non Toxic
48,"""බොසා ශේප් වෙන්න වගේ හදන්නේ දැන් ඉතිං ඩෝබිලාට කියන්න තියෙන්නේ නුවර පෙරහැරත් නවත්තනවා කිව්වා නේද දැන් බලන්න කියලා තමයි බලන්න වෙන්නේ ඇටේ තමයි හොදින් මතක තබාගන්න නැද්ද හා නොදකින් අම්මපා  """,Non Toxic
49,""" කොහොමත් බුදු දහමට පූර්ණ රාජ්‍ය ගෞරවය සුදුසු තැන දෙන්න ඔනි.  """,Non Toxic
50,"""මේ දිවයින හැමදාම සමගියෙන් ඉන්න ණම බුදු දහම ප්‍රමුඛ වෙන්න ඔනි. අවස්ථාවාදි අගමික අන්තවදි එවුන් හැදිගැවිල යන්න ඔනි. සියලු දෙනා සුවපත් වේවා  """,Non Toxic
51,""" හරි හරි රනවිරු සැමරුම අමතක කරවලා ඩෝබිලා ටික නැගිටින නිව්ස් එකක්  """,Non Toxic
52,""" නියමයි..  බුදුදහම විනාසයි කිව්ව උන්ට ඇඩෙන්න කරන්න ඕනේ. ඕකුන්ට කොච්චර කරත් වැඩකුත් නැ.. """,Non Toxic
53,"""  නිරාගමිකයෝ කිව්වා.
ආවොත් හිමිවරුණට දානේ වේලක් නැති වෙනවා කිව්වා.""",Non Toxic
54,""" මේ ආගමික වැඩසටහන් වලට රාජ්‍ය අනුග්‍රහය කියලා එකක් ඕන නැහැ එහෙම උනාම හැම දෙයක්ම අල කරගන්නවා """,Non Toxic
55,""" මිනිස්සු පෝයට දැන් කරන්නෙ විකාර දේවල්.ඔක්කොම ෆන් එකට.දර්මානුකූල ප්‍රතිපත්ති පන්සල් වලවත් දැන් නෑ. """,Non Toxic
56,"""නිරාගමික ජෙප්පන්ව ආගම දහමට ළැදි කරපු ඒ වෙනසම මදිද කියහන්කෝ.. බලපන් ඉස්සර මේවට බැනලා මේවයි වියදම් කිය කිය කමෙන්ට් දාපු නිරාගමික ජෙප්පෝ දැන් සාදු සාදු කියනවා හරියට ඉස්සර මේ වගේ උත්සව තිබුණේ නෑ වගේ 🤌🐃😂  """,Non Toxic
57,""" බුදුදහම අනතුරේ කියලත් කවුරුහරි කිව්ව මතකයි...
. """,Non Toxic
58,"""  රනවිරු සැමරුමට යන්නෙ නැහැ කියල හිටිය ජනපති එන පොට හොද නැති බව දැනගෙන මේකට හරි මූලිකත්වය දෙන එක වටිනව""",Non Toxic
59,""" ඒකටත් ඉතින් රාජ්‍ය අනුග්‍රහය කීවට බුද්ධ සාසන එකේ ප්‍රාථමික නිලදාරියෙක් විතරක් දාලා සේප් වෙන්න බලයි """,Non Toxic
60,"""  රාජ්‍ය ඇසල උත්සවය කවද්ද දන්නෙ නැහැ.""",Non Toxic
61,"""  මිහින්තලේ ඉන්න ගෑනුන්ටත් ප්‍රසාදය පලකරා ළමයිනුත් හැමතැනම""",Non Toxic
62,""" ලජ්ජාව බේරාගන්න තමයි ඉතින් """,Non Toxic
63,""" අනුරාධපුරයේ සුරාසැල් විතරක් වහලා ඇතිද? මේක ජාතික උත්සවයක් ලංකාවේ අනිත් ප්‍රදේශවල ජනයා බිඋවට කමක් නෑ කියලා ද මේ කියන්නේ ලංකාවේම සුරාසැල් වහන්න ඕන """,Non Toxic
64,""" මිහින්තලේ හාමුදුරුවෝ ඉන්නවද දන්නෑ.. """,Non Toxic
65,""" අනුබුදු දහම???. කවුද මේ වාක්‍ය හදන්නෙ.... """,Non Toxic
66,""" මිහින්තලා හාමුදුරුවෝ කෝ දැන් බුද්දාගම අනතුරේ නැද්ද  """,Non Toxic
67,"""  මාලිමාවෙන් බුද්ධාගම බේරගන්න සජිත් මහත්තයාව ජනාධිපති කල යුතුමයි කියපු උන්නාන්සේගේ පන්සල නේද?""",Non Toxic
68,""" මාලිමාව ආවොත් පන්සල් වහනවා,දානෙ නෑ,කඨින නෑ.. """,Non Toxic
69,""" අනුර ජනාධිපති උනොත් ව්‍යසනයක් එනෝ.....කියලා පෝයට දේශනා කරන්න.. """,Non Toxic
70,""" අරක්කු ටිකක් වැඩිපුර ගොඩගහගන්න ඕනේ.. """,Non Toxic
71,"""දැන් පන්සල් වලට දානේ හම්බෙනවද?  """,Non Toxic
72,""" රනිල් ලයිට් කැපුවනෙ ගිය අවුරුද්දේ  """,Non Toxic
73,"""  ඒ උනාට මහ ලොකු බෞද්ධකම් ගැන කතාව...""",Non Toxic
74,"""අනුර ආවොත් පන්සලක්වත් ඉතිරි වෙන්නේ නැහැ කියලා තමයි කිව්වේ...මිහින්තලේ හාමුදුරුවොත් එහෙමනෙ කිව්වේ ඉතින්  """,Non Toxic
75,""" පුතනෝගේ වේදිකාවල කියපුබොරු හාමුදුරුවන්ට මහණ වෙන්න තියෙන්නේ """,Non Toxic
76,"""  වෙසක් එකේ අඩු පාඩු හදන් පොසොන් වලට යමු""",Non Toxic
77,"""ගියපාර් වෙසක් එකට කොටි අනුරගේ පච අනුරගේ සහය නැති නිසා චන්දේ අරමුනින්   """,Non Toxic
78,""" ගෝටභය යුගයක් කියල පුප දුන්න සෙට් එකම අනුරට දැන් වචනයක් ඒ කාලේ කිටන්න දුන්නෙ නැ. """,Non Toxic
79,"""  දැන් ටික ටික අවබෝධ වෙනවා.. චන්දෙ කියන්නෙ එපා ඕනෙ නැ. පහලිම් බනිය අය බලමු """,Non Toxic
80,"""රැල්ලක් හදමු අනුරව මුවාට ඉන්න කියලා.""",Non Toxic
81,"""  දැන් ශේප් එකේ ඩයස්පෝරා කතා යට ගහ ගන්න පොසොන් සමරනවා  """,Non Toxic
82,"""  රාජ්‍ය අනුග්‍රහයෙන් කරන්න. ඒත් වලවාහැංගුන වැවේ එක්කෙනාගෙ අතට සල්ලි දෙන්න එපා.""",Non Toxic
83,""" එයාගෙ විශ්වාසය බිඳගෙන තියෙන්නෙ..
 """,Non Toxic
84,"""  තිස්ස විහාරයේ පොසොන් කලාපයක් තියන්න කියහං """,Non Toxic
85,""" මේ රට නිරාගමික කරනවා කිව්වා මිහින්තලේ සිවුරු දාගත්තු කෙනා.
මෙහෙම තමයි වෙන්න ඕනෙ.
 """,Non Toxic
86,""" යන්තම් ඒක නම් ගොඩදා ගනී වගේ. """,Non Toxic
87,"""ටික ටික මයිනා ෆලෝව් කරනවා වගේ  """,Non Toxic
88,"""තිස්ස විහාරය ඩයස්පෝරාවට දීලත්
  """,Non Toxic
89,"""  ජනතාවට එහෙම හිතන්න ස්ටෝරි එක හදල දුන්නෙ මාළිමා ලොක්කො...""",Non Toxic
90,"""දැන් හේදෙන්න ට්‍රයි කරන්න කරන්න තව මඩ නෑවෙනව......""",Non Toxic
91,""" ජාති, ආගම් සීන් ඇද ගත්තොත් ලේසි නෑ අපේ රටේ....!
 """,Non Toxic
92,""" මේව පත්තර වල මුල් පිටුවෙ දාන්න ඕනෙ """,Non Toxic
93,"""බුද්ධාගම ඉවරයි පංසලට දානෙ වේල නෑ කියපු කෙබරත් ඒත් එක්කම දාල මිනිස්සුන්ට මතක් කරල දෙන්න ඕනෙ..  """,Non Toxic
94,"""  ඔයාලඑ ලොක්කම තමයි එහෙමා හිතන්න පුරුදු කරල තියෙන්නෙ. """,Non Toxic
95,"""දේශපාලන සංස්කෘතිය වෙනස් කරනව කියලනෙ කිව්වෙ ඉතිං. දැං එව්ව නැද්ද """,Non Toxic
96,"""  මේක ප්‍රජාතන්ත්‍රවාදී සමාජවාදී ජන රජයක් මත වර්දනය වෙන රටක්. """,Non Toxic
97,"""  සිංහල සුලු ජාතියක් උනාමනම් එහෙම දේවල් කරන්න පුලුවන්. ඒක නිසා එක එකා කියන දේවල් අහල බය වෙන්න එපා """,Non Toxic
98,"""  ලංකාවෙ සංස්කෘතියට අනුව ඒ වගේ ඒකමතික තීරනයක් ජනාදිපතිටගන්න බෑ.""",Non Toxic
99,"""  සජියගේ ගෝලයන්ට උඹ කියන විදිහට මොලේ නැති උන් කියලා උඹ පිලිගන්නවා..""",Non Toxic
100,"""නෑ මචං මම උන්ගෙ අතකොලුවක් නෙවේ. උන් හොරා කෑව ඒ නිසා එලෙව්ව.  """,Non Toxic
101,"""ඒක මමත් පිලිගන්න ගරු කරන එකක්. ඒත් මුන් කලෙත් බොරු කියල මිනිස්සුන්ගෙන් චන්දෙ අරන් දැං ඒ සිංහල මිනිහටම කෙලින එක.""",Non Toxic
102,"""  තව ඖරුදුහතක් හතරක් තියනව නෙ. එදාට තීරණයක් ගමු """,Non Toxic
103,"""දානේ නෑ...දහම් පාසල් නෑ..පෙරහැර නෑ...කිව්වා වාගේ මතකයි  """,Non Toxic
104,""" සිස්ටම් චේන්ජ් කරන්න ආපු එවුන් නීතිය ලඟ නවනව දැක්කම  """,Non Toxic
105,"""දැන් හදන්නෙඑකටත වහල්ලුදගෙන හොරකනඑක එලියටඑන එක නතරකරන්නද බලයටඅවෙ ඔවා කියලානෙවෙයි""",Non Toxic
106,""" හැම ආයතනයකම වගේ ඉහල පුටුවල ඉන්නෙ පහුගිය ආණ්ඩුවල හෙන්චයියො.අවංක මිනිස්සු අඩුයි.මේක වෙනස් කරන්න නම් ඔය දේශපාලනේ සුද්දකර ගත්තා වගේම ඉහල පුටු ටිකත් සුද්දකරාන්න වෙනවා. """,Non Toxic
107,""" ඉස්සර ඕවගේ ප්‍රශ්නයක් ආවම විපක්ෂය දේවාලවලට ගිහිල්ලා පොල් ගහනවා.... """,Non Toxic
108,""" සුදුසුකම් වලට තනතුරු දෙනව කිවව එවුන් නේද මේ කාගෙ කවුද කියල බලන්න හදන්නෙ දැන්. """,Non Toxic
109,"""  මේ ඉන්න එවුන් කොහෙන්හරි තමන්ට කැමැති කෙනෙක් පත්කරනවා. බලන කොට අරුන් අවුරුදු 75 කාපු එකතමා කරේ.""",Non Toxic
110,"""  අපේ අනුර සහොදරයා කිවුවා හිතවතුන්ට තනතුරු දෙන්නේ නෑ කියලා කිවුවා ඒවා ඒ විදිහට කරන අපේ ජනාධිපතිතුමාට ජය වේවා """,Non Toxic
111,"""ජාතික ජන බලවේග වේ මේ වගේ මී හරක් දේශපාලකයන් බිහිවෙයි කියල අපට නිකමටවත් හිතුනෙ නෑ
  """,Non Toxic
112,"""  රටේ ඉහල පෙලේ තනතුරු පත් කරන එක ගැනත් ටියුශන් ගන්න බංකු අරන් එන්න වෙයිද අපිට ?

""",Non Toxic
113,""" එහෙම එකකුත් නෑ ජනාධිපතිගේ ජූනියර් බොක්කක් පත් කරන්න කියලා නියමෙකුත් නෑ. ඒකනේ සභාවෙන් රිජෙක්ට් වෙන්න පළවෙනිම හේතුව """,Non Toxic
114,"""  තනතුරට සුදුසු පරීක්ෂණ වලට සහාය උපරිම දෙන රජයට පක්ෂපාතී පුද්ගලයෙක් පත් කරගන්න.""",Non Toxic
115,""" දෙපාර්තමේන්තුවේ ජ්‍යේෂ්ඨ එකා ඇත්තෙ රාජපක්ෂලගෙ හිඟන්නෙක් වෙන්නැති. """,Non Toxic
116,"""දැනගනින් ගිහින් රාජපක්ෂ හිඟන්නෙක්ගෙන් කොහොමද ඒ දවස් වල තනතුරු වලට පත් කරේ කියලා  """,Non Toxic
117,"""මේ පත් කරගන්න දඟලන්නෙත් එහෙම එකෙක් තමයි  """,Non Toxic
118,"""  සුදුසු ගාගෙන ගම්මන්පිලගෙ ලගම නෑයටද දෙන්න කියන්නෙ""",Non Toxic
119,""" සුදුසුකම් වලට නෙමේද තනතුරු දෙනවා කිව්වෙ මුන්. """,Non Toxic
120,""" පත් කරගන්න බැරි නිසානෙ වැඩ බලන එකාවම තියාගෙන දගලන්නෙ """,Non Toxic
121,"""  දැන් එතොකොට පත් කරලා නැද්ද""",Non Toxic
122,""" ව්‍යවස්ථා වෙන් බලෙ තීනව කැමති කෙනෙක්ව පත් කරන්න.   """,Non Toxic
123,"""රටේ තනතුරු පත් කරන්නෙ කොහොමද?""",Non Toxic
124,""" කොඨ්ටාස ක්‍රමය අහෝසි කරලයි පලාත් පාලන ඡන්ද විමසීම කරන්න තිබ්බෙ ආණ්ඩුවට. """,Non Toxic
125,"""  ඔය ක්‍රමය වහාම අහෝසි කරන්න ඕනෙ.""",Non Toxic
126,""" පළාත් පාලන ආයතන පනත කියෙව්වා නම් මේ වගේ කතා කියන්නේ නෑ.. 
 """,Non Toxic
127,"""විපක්ෂයේ හිටපු ව්ජ්මු ලොකුබණ්ඩාර කථානායක උනේ කොහොමද කියල පොඩ්ඩක් හොයල බැලුවනං  """,Non Toxic
128,""" හොර පොහොට්ටු එක්ක ආණ්ඩු නැත..හොර පොහොට්ටු එක්ක ඩීල් නැත..හොර පොහොට්ටු එක්ක ගිවිසුම් නැත..(සජිත් ප්‍රේමදාස රැස්වීමකදී..) """,Non Toxic
129,"""  අපිට නූල් සූත්තර දේශපාලනය ඔබින්නෙ නෑ.මේ රාජපක්ෂ ආණ්ඩුවත් එක්ක..මේ හොර හැත්තත් එක්ක..අපිට ගනුදෙනුවක් නෑ..නෑ..නෑමයි""",Non Toxic
130,"""  පාර්ලිමේන්තුවේදී සජියගේ කලිසම ඔළුවෙන් ගලවන කතාවක් කරලා,සජබෙ අඩුපාඩු කියලා රනිල් ගාවට ගිය තලතා එක්ක ගිවිසුම් ගැහුවා නේද සජිත් ඉස්සරහා තියන්...ලැජ්ජා නැද්ද මන්දා..ඊයා..""",Non Toxic
131,"""  චන්දෙට කලින් ""වෙන පක්ශ එක්ක එකතු නොවී තනියෙන් තරඟ කරනවා"" කියපු සජියා චන්දෙන් පස්සෙ ඇප නැතිවෙන්ඩ පැරදුනාම කියනවා, ""රටේ ජනතාව මේ චන්දෙන් පෙන්නලා තියෙන්නෙ විපක්ශය එකතු විය යුතු බව"" ලු..😂😂""",Non Toxic
132,""" ජන්දෙට කලින් මාලිමාව හැර අනිත් සේරම හොරු ස්වාධීන අය සහයෝගය දෙනකොට ස්වාධීන අය නැතුව අනිත් අය හොරු 
  """,Non Toxic
133,"""   අපේ රාජපක්ස කල්ලතෝනි 2019 මහබැංකු හොරාව පරද්දපු හැටි මතක් උනා """,Non Toxic
134,"""හරි හරි දැන් කී දෙනෙක් ඕක කිව්වද?දැන් නීතිය ක්‍රියාත්මක කරලා,හොරු අල්ලලා ගන්නවා කියපු දේවල් ගනින් මචං,එහෙම නොකරපු නිසා තමයි පලාත් චන්දෙදි කෙලවුනේ,නාමල් රාජපක්ෂ අභියෝග කරනවා  """,Non Toxic
135,"""  අනිවාර්යෙන්ම මාලිමාව මේ රටේ සියලුම පළාත් නියෝජනය කළ යුතුයි
""",Non Toxic
136,""" ඔව් ඔව් බන් අනිවාර්යෙන් දෙන්න ඕන කයිය නායකයොන්ගෙ වැඩ බලන්න """,Non Toxic
137,"""පලාත් පාලන පනත කියවලා නෑ  """,Non Toxic
138,"""විපක්ෂයෙ උන්ට කියන්නේ පළාත් සභා ටිකත් උන්ටම දීපන් බන් කරන්න එතකොට මිනිස්සුන්ටම තේරෙවි නේ""",Non Toxic
139,""" හෝමගම වල්ගම පාර හදනව නිකන් කිව්වෙ එකක්... """,Non Toxic
140,"""  කොහොමත් මේ යන ක්‍රමයට විපක්සේ උන් ඉතිරි වෙන්නේ නෑ, """,Non Toxic
141,"""ඒකාබද්ධ ව්පක්ෂය දින්නේ දැන් කෙදිරි ගාන්න එපා  """,Non Toxic
142,"""ජනමතය මොකක්ද , කාටද ජනමතය තියෙන්නේ කියන එක් අඳුනගන්න බෑ

එච්චරම උනන්දුව ජනතාවට සේවය කරන්න  """,Non Toxic
143,"""  ජාලිමාවට ජය වේවා සුබ නැකතට පච ලපයට
""",Non Toxic
144,"""   දැන්වත් හොරුන්ට කඩේ එන එක නවත්තපන් රටට ආදරේ නම්""",Non Toxic
145,"""  දැන් ආණ්ඩුවේ ඉන්න එක හොරෙක්ව පෙන්නපන් පුලුවන්නම්""",Non Toxic
146,"""  දැන් ආණ්ඩුවේ හොරු නෑ ඒක හොදයි හැබැයි ඒක විතරක් මදිනේ කට විතරක් ඉස්සර කරන් ඉදලා වැඩක් නැ වැඩත් තියෙන්නොනේ නැත්තම කවමදාවත් මේ රටවල් හදන්න බෑ """,Non Toxic
147,""" බදින්නේ කවුරුවත් ලමයගෙ තාත්ත වෙන්නෙ වෙන කවුරුවත්, ගිහින් අහපන් ගෑනිගෙන් ඒක කෝමද උනේ කියල """,Non Toxic
148,"""   ඒක හරි ඔය ඉන්න මහ එවුන්ට ළමයි හදන්න බෑනෙ කවුරු හරි හදපු එකක් තමයි""",Non Toxic
149,"""  පළාත් පාලන ඡන්ද ක්‍රමය ගැන බංකු දාලා උගන්නන්න ඕනි නජිත්ලට""",Non Toxic
150,""" ඇයි ඔයාගෙ රාජපක්ෂ සීයල මාමල ඔයාට උගන්වලද තියෙන්නේ..  """,Non Toxic
151,""" ඔව් නේද අපරාදෙ පාර්ලිමේන්තු යනවා එනවා විතරයි  """,Non Toxic
152,"""  නාමල් ජනපති වෙනකන් බලන් ඉදල """,Non Toxic
153,""" මේක තමයි අපක්ෂපති වාර්තාකරනය   """,Non Toxic
154,"""ඔව් දැන් විපක්ෂයේ මහා මගුල හෙට අනිද්දා  """,Non Toxic
155,"""  පලාත් පාලන ජන්දයෙන් 80% ගන්නවා""",Non Toxic
156,""" දැන් ඉක්මනින් මහින්දගෙ ගෙදර ගනී """,Non Toxic
157,""" ආ..... එකත් මරු හැබයි """,Non Toxic
158,""" බාර උනා විතරයි ඊට පස්සේ මොකද උනේ """,Non Toxic
159,"""මේ පාර චන්ද වලින් ආණ්ඩුව පාඩමක් ඉගෙන ගත්තා   """,Non Toxic
160,""" බදුල්ලේ පුවක් හොරු ඉන්නවා """,Non Toxic
161,"""  මේවා පරක්කු ඔයාලගෙම  වැඩ නිසා """,Non Toxic
162,"""ඒක හොදයි චීනය හෝ රුසියාව බලවත් වෙවි  """,Non Toxic
163,"""  උගතුන් වෙන රටවලට යාවි""",Non Toxic
164,"""රජයේ විශ්වවිද්‍යාල වල ඉන්න කොටි ටිකත් පන්නන්න ඕන   """,Non Toxic
165,"""අපේ රට ඒවට හොද උදාහරන   """,Non Toxic
166,"""  මේ මහත්තයගෙ අම්මා කරන දේවල් හැම මනුස්සයම කරන්නේ නැ""",Non Toxic
167,"""රට ගැන හිතලා  කවුරුත් වැඩ කරමු """,Non Toxic
168,""" මෙහෙම ගියොත් රට බන්කොලොත් වෙයි """,Non Toxic
169,""" ජාතිවාදී විය යුතුමයි නැත්නම් මුස්ලිම් අන්තවාදීන් ලොව වනසනවා """,Non Toxic
170,"""  ඔබ හරි . ඒත් අල් කුරානේ සදහන් වෙන්වා ඉස්ලාම් ආගමට එරෙහි වන අය""",Non Toxic
171,""" මහින්ද කැවෙ ටිකක් විතරයි මේකා කනවා රටම  """,Non Toxic
172,"""බෝම්බත් තිව්ව වගේ මතකයි ඉස්සර කාලෙක    """,Non Toxic
173,"""ඊට කලින් හිරේ  2/3  හදනකන් ඔයත් හිනා වෙවි ඉන්නවා """,Non Toxic
174,"""ඕක කියලා බිමල්ගෙන් රෙදි  නැතිවෙන්න අහා ගත්තා නේද  """,Non Toxic
175,"""පුදුම කැක්කුමක්නෙ  තියෙන්නේ ආණ්ඩුව ගැන  """,Non Toxic
176,"""හොරා කන්න වැඩි කාලයක් නොගියට ඒවා අල්ලන්න ටික කාලයක් යනවා""",Non Toxic
177,""" කට කියවන්නේ නැතුව හිටියනම් හරි වගේ """,Non Toxic
178,"""  ඊලග මැතිවරනෙදි බලමුකො""",Non Toxic
179,"""  ඉස්සරහට හැම රටකම එන උගත් සිසුන් කානුව අතැරල වෙන රට වල කැම්පස් වලට යාවි""",Non Toxic
